Name;Platform;Genre;Global_Sales;User_Score;User_Count;Rating;;
Silent Hill: Homecoming;X360;Action;0.45;6.9;180;M;;
Yu-Gi-Oh! Capsule Monster Coliseum;PS2;Misc;0.44;;;;;
Warhammer 40;000: Space Marine;2011;0.08;46;7.4;Relic;M;
Discovery Kids: Kitten Corner;DS;Simulation;0.44;tbd;;E;;
Rock Band Country Track Pack;Wii;Misc;0.44;tbd;;E10+;;
Major League Baseball 2K6;PS2;Sports;0.44;5.2;27;E;;
Brunswick Pro Bowling;X360;Sports;0.44;tbd;;E;;
Jampack Volume 13 (RP-M);PS2;Misc;0.44;;;;;
World Soccer Winning Eleven 9;XB;Sports;0.44;7.9;9;E;;
NBA Live 2000;N64;Sports;0.44;;;;;
Teenage Mutant Ninja Turtles 2: Battle Nexus;PS2;Action;0.44;7.8;12;T;;
SpongeBob SquarePants: Lights; Camera;PS2;0;;;;;
The Thing;PS2;Adventure;0.44;7.4;41;M;;
Van Helsing;PS2;Action;0.44;8.5;19;T;;
Mario Tennis Ultra Smash;WiiU;Sports;0.44;5.3;133;E;;
Virtua Tennis 4;PS3;Sports;0.44;6.6;28;E;;
X-Men Legends II: Rise of Apocalypse;XB;Role-Playing;0.44;8.7;199;T;;
Naruto Shippuden: Ultimate Ninja Storm Generations;X360;Fighting;0.44;7.2;47;T;;
Wolfenstein: The New Order;PS3;Shooter;0.44;7.1;115;M;;
Skylanders: Trap Team;PS4;Action;0.44;5.6;32;E10+;;
Worms: Open Warfare 2;PSP;Strategy;0.44;8.1;25;E10+;;
Transformers: Revenge of the Fallen (Wii & PS2 Version);DS;Action;0.44;;;;;
Spawn: Armageddon;PS2;Action;0.44;7.4;21;M;;
The Godfather (US sales);XB;Action;0.44;;;;;
Sid Meier's Civilization Revolution;DS;Strategy;0.44;7.7;21;E10+;;
World Stadium EX;PS;Sports;0.44;;;;;
Tiger Woods PGA Tour 2003;XB;Sports;0.44;8.5;11;E;;
Battlefield 2: Modern Combat;PS2;Shooter;0.44;8.5;65;T;;
50 Cent: Bulletproof;XB;Action;0.44;5.9;21;M;;
Densetsu no Stafi 2;GBA;Platform;0.44;;;;;
Independence Day;PS;Shooter;0.44;;;;;
Tony Hawk's Proving Ground;PS3;Sports;0.44;6.6;17;T;;
Chocobo Racing;PS;Racing;0.44;;;;;
Disney Infinity 2.0: Marvel Super Heroes;XOne;Action;0.44;;;;;
LEGO Star Wars II: The Original Trilogy;XB;Action;0.44;8.6;15;E10+;;
Viking: Battle for Asgard;X360;Action;0.44;8;88;M;;
Petz: Catz 2;Wii;Simulation;0.44;5.8;6;E;;
Dragon Quest Heroes: Rocket Slime;DS;Action;0.44;7.6;45;E;;
Gundam SEED: Federation vs. Z.A.F.T.;PS2;Shooter;0.44;;;;;
Ms. Pac-Man Maze Madness;PS;Puzzle;0.44;;;;;
Blood Omen: Legacy of Kain;PS;Role-Playing;0.44;;;;;
Super Bomberman 4;SNES;Puzzle;0.44;;;;;
Fable;X360;Role-Playing;0.44;;;;;
Family Fest Presents Circus Games;Wii;Misc;0.44;tbd;;E;;
Dance Dance Revolution: Hottest Party 3;Wii;Simulation;0.44;8.2;5;E10+;;
Bomberman II;NES;Puzzle;0.44;;;;;
Duke Nukem 64;N64;Shooter;0.44;;;;;
Transformers: Dark of the Moon - Autobots/Decepticons;DS;Action;0.44;;;;;
The Urbz: Sims in the City (all regions sales);DS;Simulation;0.44;;;;;
SpongeBob SquarePants: Lights; Camera;GC;0;;;;;
Super Robot Taisen OG: Original Generations;PS2;Strategy;0.44;;;;;
G-Force;Wii;Action;0.44;8;6;E10+;;
Army Men World War: Final Front;PS;Action;0.44;;;;;
Transformers: Fall of Cybertron;X360;Action;0.44;8.3;160;T;;
SOCOM: U.S. Navy SEALs Fireteam Bravo 3;PSP;Shooter;0.44;8;20;T;;
MX Unleashed;XB;Racing;0.44;9.3;12;E;;
Puppy Luv: Spa and Resort;DS;Simulation;0.44;tbd;;E;;
Jikkyou Powerful Pro Yakyuu 9;PS2;Sports;0.44;;;;;
Grind Session;PS;Sports;0.44;;;;;
Naruto: Gekito Ninja Taisen! 3;GC;Fighting;0.44;;;;;
Madden NFL 12;Wii;Sports;0.44;6.2;5;E;;
Wario World;GC;Platform;0.44;7.2;44;E;;
DmC: Devil May Cry;X360;Action;0.44;5.1;1438;M;;
Scooby-Doo! Mystery Mayhem;GBA;Action;0.44;tbd;;E;;
Super Breakout;2600;Puzzle;0.44;;;;;
FIFA Soccer 13;PSV;Action;0.44;4.1;89;E;;
The Legend of Spyro: Dawn of the Dragon;PS3;Platform;0.44;6.6;36;E10+;;
Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri;PS2;Misc;0.44;;;;;
Samurai Warriors 3;Wii;Action;0.44;7.2;22;T;;
Ben 10 Alien Force: Vilgax Attacks;Wii;Action;0.44;4;6;E10+;;
TimeSplitters 2;GC;Shooter;0.44;9;65;T;;
Battlebots: Design & Destroy;GBA;Action;0.44;;;;;
Robert Ludlum's The Bourne Conspiracy;X360;Action;0.44;7.2;63;T;;
Eternal Darkness: Sanity's Requiem;GC;Adventure;0.44;8.7;173;M;;
Food Network: Cook or Be Cooked;Wii;Misc;0.44;6.8;5;E;;
Power Rangers: S.P.D.;GBA;Action;0.44;tbd;;E10+;;
Naruto: Ultimate Ninja 3;PS2;Fighting;0.44;8.7;33;T;;
The Darkness;X360;Shooter;0.44;8.1;196;M;;
Thrillville: Off the Rails;Wii;Strategy;0.44;2.8;40;E10+;;
Jump Start Pet Rescue;Wii;Misc;0.44;;;;;
SingStar Motown;PS2;Misc;0.44;;;;;
Child of Eden;X360;Shooter;0.44;7.7;95;E10+;;
Neon Genesis Evangelion;SAT;Adventure;0.44;;;;;
Mobile Suit Gundam: One Year War;PS2;Action;0.44;;;;;
Spider-Man: Shattered Dimensions;PS3;Action;0.44;7.5;96;T;;
Tongari Boushi to Mahou no Otana;DS;Simulation;0.44;;;;;
NFL Blitz 20-03;PS2;Sports;0.44;8.6;5;E;;
SpongeBob's Atlantis SquarePantis;PS2;Action;0.44;tbd;;E;;
Eternal Sonata;PS3;Role-Playing;0.44;7.8;117;T;;
SingStar Queen;PS3;Misc;0.44;;;;;
Karaoke Revolution;Wii;Misc;0.44;tbd;;T;;
Star Wars: Jedi Starfighter;XB;Simulation;0.44;5.2;5;T;;
Walk it Out!;Wii;Sports;0.44;;;;;
Classic NES Series: Metroid;GBA;Adventure;0.43;8.6;18;E;;
Nicktoons: Attack of the Toybots;Wii;Platform;0.43;6;8;E;;
Primal;PS2;Action;0.43;8.6;53;M;;
Need for Speed: Shift 2 Unleashed;X360;Racing;0.43;;;;;
Yu-Gi-Oh! 5D's Tag Force 4;PSP;Strategy;0.43;;;;;
Ninja Gaiden 3;PS3;Action;0.43;5;152;M;;
Band Hero;DS;Misc;0.43;7;4;E10+;;
Need for Speed Underground 2;GBA;Racing;0.43;8.2;13;E;;
Madden NFL 2002;N64;Sports;0.43;;;;;
007: Quantum of Solace;PS2;Action;0.43;;;;;
Master of Illusion;DS;Puzzle;0.43;tbd;;E;;
Spec Ops: Covert Assault;PS;Shooter;0.43;tbd;;T;;
SSX Tricky;XB;Sports;0.43;8.5;11;E;;
Flight Control Rocket;GBA;Simulation;0.43;;;;;
Tetris Axis;3DS;Puzzle;0.43;6.8;28;E;;
Borderlands: The Handsome Collection;XOne;Shooter;0.43;7.8;119;M;;
Sleeping Dogs;PS4;Action;0.43;;;;;
The Chronicles of Narnia: The Lion; The Witch and The Wardrobe;2005;0.06;36;8.4;Traveller's Tales;T;
NiGHTS into dreams...;SAT;Platform;0.43;;;;;
Star Wars The Clone Wars: Republic Heroes;PS3;Action;0.43;5.3;16;T;;
NCAA Football 2004;XB;Sports;0.43;8.8;19;E;;
Bionicle;PS2;Action;0.43;3.6;16;E;;
Hyrule Warriors;3DS;Action;0.43;;;;;
DanceStar Party;PS3;Misc;0.43;;;;;
Naruto Shippuden: Ultimate Ninja Storm Revolution;PS3;Fighting;0.43;7.5;100;T;;
Naughty Bear;PS3;Action;0.43;5.5;49;T;;
MLB 2002;PS;Sports;0.43;8.1;8;E;;
Deadpool;X360;Action;0.43;7.4;368;M;;
Lego Batman 3: Beyond Gotham;XOne;Action;0.43;7.1;36;E10+;;
MLB 14: The Show;PS3;Sports;0.43;6.8;79;E;;
Devil May Cry HD Collection;X360;Action;0.43;8.4;93;M;;
Hyperdimension Neptunia;PS3;Role-Playing;0.43;7;148;T;;
TimeSplitters;PS2;Shooter;0.43;8;40;T;;
Barnstorming;2600;Action;0.43;;;;;
InuYasha: The Secret of the Cursed Mask;PS2;Role-Playing;0.43;8.1;28;T;;
The Powerpuff Girls: Him and Seek;GBA;Platform;0.43;;;;;
Mega Man Zero 2;GBA;Platform;0.43;8.6;18;E;;
My Spanish Coach;DS;Misc;0.43;tbd;;E;;
Wonder Project J: Kikai no Shonen Pino;SNES;Simulation;0.43;;;;;
Payday 2;PS3;Shooter;0.43;6.2;181;M;;
WWE 2K16;X360;Sports;0.43;5.4;25;T;;
Dragon Ball Z: Shin Budokai - Another Road;PSP;Fighting;0.43;;;;;
The Fairly Odd Parents: Game Boy Advance Video Volume 1;GBA;Misc;0.43;;;;;
Mass Effect Trilogy;PS3;Action;0.43;8.7;63;M;;
Ghostbusters: The Video Game;PS2;Action;0.43;8.7;6;E10+;;
Hunter: The Reckoning  Wayward;PS2;Action;0.43;8.8;16;M;;
Mischief Makers;N64;Platform;0.43;;;;;
WipEout 64;N64;Racing;0.43;;;;;
EyeToy: AntiGrav;PS2;Sports;0.43;7.8;5;E;;
Dora the Explorer: Dora Puppy;DS;Misc;0.43;;;;;
EverQuest Online Adventures;PS2;Role-Playing;0.43;8.2;33;T;;
OkamiDen;DS;Adventure;0.43;7.9;53;E10+;;
Cool Boarders;PS;Sports;0.43;;;;;
Hometown Story;3DS;Role-Playing;0.43;6;24;E10+;;
Just Dance 4;PS3;Misc;0.43;7.1;29;E10+;;
Mobile Suit Gundam: Zeonic Front;PS2;Simulation;0.43;8.8;23;T;;
Monopoly;PS2;Misc;0.43;7.2;6;E;;
TouchMaster 3;DS;Puzzle;0.43;tbd;;E;;
Dawn of Mana;PS2;Role-Playing;0.43;6.8;11;T;;
Castlevania: Dawn of Sorrow;DS;Platform;0.43;8.5;171;T;;
Max Payne 3;PC;Shooter;0.43;7.6;2202;M;;
Barbie: Groom and Glam Pups;DS;Action;0.43;tbd;;E;;
Tales of the World: Radiant Mythology;PSP;Role-Playing;0.43;7.8;25;T;;
Petz Bunnyz;DS;Simulation;0.43;tbd;;E;;
Alpha Protocol;PS3;Role-Playing;0.43;6.9;117;M;;
Wolfenstein: The Old Blood;PS4;Action;0.43;8;267;;;
Deer Drive;DS;Sports;0.43;tbd;;T;;
Petz: Horsez 2;DS;Simulation;0.43;tbd;;E;;
Rayman Legends;X360;Platform;0.43;8.2;217;E10+;;
Madden NFL 2003;GC;Sports;0.43;8.5;17;E;;
Backyard Baseball;GBA;Sports;0.43;;;;;
Midway Arcade Treasures;XB;Misc;0.43;tbd;;T;;
Disney Sing It;X360;Misc;0.43;5.2;6;E;;
Remington Great American Bird Hunt;Wii;Sports;0.43;tbd;;T;;
Microsoft Flight Simulator X;PC;Simulation;0.43;7.6;95;E;;
Bakugan: Battle Brawlers;PS2;Action;0.43;5.7;7;E;;
NHL FaceOff 99;PS;Sports;0.43;;;;;
SEGA Classics Collection;PS2;Misc;0.43;6.7;6;T;;
Crash: Mind Over Mutant;Wii;Platform;0.43;6.6;16;E10+;;
Naruto: Ninja Council 3;DS;Action;0.42;6.5;13;E10+;;
Dai-2-Ji Super Robot Taisen Z: Hakai-hen;PSP;Strategy;0.42;;;;;
Neon Genesis Evangelion 2nd Impression;SAT;Role-Playing;0.42;;;;;
NBA Street;GC;Sports;0.42;8.6;7;E;;
Def Jam Icon;PS3;Action;0.42;4.4;40;M;;
2014 FIFA World Cup Brazil;X360;Sports;0.42;4.4;93;E;;
The Legend of Spyro: The Eternal Night;PS2;Platform;0.42;5.4;28;E10+;;
Atelier Totori: The Adventurer of Arland;PS3;Role-Playing;0.42;6.7;109;T;;
Mega Man Battle Network;GBA;Role-Playing;0.42;8.9;24;E;;
Juiced: Eliminator;PSP;Racing;0.42;8.2;6;T;;
25 to Life;PS2;Shooter;0.42;4.9;46;M;;
NHL 2K6;PS2;Sports;0.42;5.8;18;E10+;;
Medal of Honor: Rising Sun;GC;Shooter;0.42;6.4;13;T;;
The Sims;XB;Simulation;0.42;6.9;20;T;;
Dog's Life;PS2;Adventure;0.42;3.1;157;T;;
The X Files;PS;Adventure;0.42;;;;;
Super Wagyan Land;SNES;Action;0.42;;;;;
Rascal;PS;Action;0.42;;;;;
Barbie: Jet; Set & Style!;2011;0.03;;;;;
Tony Hawk's American Wasteland;GC;Sports;0.42;7.7;15;T;;
Command & Conquer 3: Tiberium Wars;X360;Strategy;0.42;;;;;
Sin and Punishment: Star Successor;Wii;Shooter;0.42;;;;;
Crash: Mind Over Mutant;PSP;Platform;0.42;6.5;8;E10+;;
Ben 10 Alien Force: Vilgax Attacks;DS;Action;0.42;tbd;;E;;
Famicom Mini: Super Mario Bros. 2;GBA;Platform;0.42;;;;;
Colony Wars;PS;Simulation;0.42;7.8;12;E;;
All-Star Baseball 2004;PS2;Sports;0.42;7.5;11;E;;
Big Strike Bowling;PS;Sports;0.42;;;;;
Skylanders: SuperChargers;X360;Action;0.42;5.4;5;E10+;;
Ben 10 Alien Force: Vilgax Attacks;PSP;Action;0.42;tbd;;E10+;;
NASCAR Thunder 2002;PS;Racing;0.42;6.9;10;E;;
Batman: Arkham Origins Blackgate;PSV;Action;0.42;6.8;106;T;;
Zone of the Enders HD Collection;PS3;Simulation;0.42;8;42;M;;
Grandia;SAT;Role-Playing;0.42;;;;;
2010 FIFA World Cup South Africa;Wii;Sports;0.42;6.7;11;E;;
ESPN NHL 2K5;XB;Sports;0.42;8.5;14;E;;
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005;GBA;Misc;0.42;;;;;
Hot Wheels World Race;PS2;Racing;0.42;7.7;9;E;;
Avatar: The Last Airbender - The Burning Earth;PS2;Action;0.42;;;;;
Superman: Shadow of Apokolips;PS2;Action;0.42;7.2;9;E;;
Trials Fusion;PS4;Racing;0.42;7.2;244;E10+;;
American Chopper;PS2;Racing;0.42;7.5;13;T;;
NASCAR Kart Racing;Wii;Racing;0.42;8.1;9;E;;
Star Wars Trilogy: Apprentice of the Force;GBA;Action;0.42;tbd;;E;;
Guitar Hero: Smash Hits;X360;Misc;0.42;5.9;18;T;;
Lemony Snicket's A Series of Unfortunate Events;GBA;Platform;0.42;8;4;E;;
JGTC: All-Japan Grand Touring Car Championship;PS;Racing;0.42;;;;;
Virtua Tennis 4: World Tour;PSV;Sports;0.42;;;;;
Arc the Lad III;PS;Role-Playing;0.42;;;;;
Just Dance: Summer Party;Wii;Misc;0.42;tbd;;E10+;;
SpongeBob's Truth or Square (US sales);DS;Action;0.42;;;;;
Mobile Suit Gundam: Gundam vs. Gundam;PSP;Fighting;0.42;;;;;
Test Drive;XB;Racing;0.42;8.7;10;T;;
Jikkyou Powerful Pro Yakyuu 11;PS2;Sports;0.42;;;;;
Petz: Horsez 2;Wii;Simulation;0.42;tbd;;E;;
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion;PS2;Action;0.42;;;;;
Pirates of the Caribbean: At World's End;PSP;Action;0.42;7;11;T;;
Dr. Mario 64;N64;Puzzle;0.42;;;;;
Jikkyou Powerful Pro Yakyuu 6;N64;Sports;0.42;;;;;
Army Men: Sarge's Heroes 2;N64;Shooter;0.42;;;;;
Rush 2: Extreme Racing USA;N64;Racing;0.42;;;;;
NFL Blitz 2001;N64;Sports;0.42;;;;;
James Bond 007: Everything or Nothing;GC;Shooter;0.42;8.2;25;T;;
NBA Live 06;PSP;Sports;0.42;7.6;13;E;;
MLB 08: The Show;PS2;Sports;0.42;7.3;7;E;;
Horsez;DS;Simulation;0.42;8.7;14;E;;
Dance Dance Revolution Ultramix 2;XB;Simulation;0.42;7.1;7;E;;
Mega Man Anniversary Collection;GC;Platform;0.42;8.8;17;E;;
Crash: Mind Over Mutant;DS;Platform;0.42;5.8;8;E;;
Super Famista 4;SNES;Sports;0.42;;;;;
The Fairly Odd Parents: Game Boy Advance Video Volume 2;GBA;Misc;0.42;;;;;
How to Train Your Dragon;Wii;Action;0.42;7;4;E10+;;
Cabela's Legendary Adventures;PS2;Sports;0.42;tbd;;T;;
Story of Seasons;3DS;Simulation;0.42;8.2;54;E10+;;
Taiko no Tatsujin DS: Dororon! Youkai Daikessen!!;DS;Misc;0.42;;;;;
Harry Potter and the Goblet of Fire;GC;Action;0.42;6.3;13;E10+;;
Thrillville: Off the Rails;PS2;Strategy;0.42;1.7;30;E10+;;
Metro: Last Light;PS3;Action;0.42;8.2;508;;;
NBA 2K11;PSP;Action;0.42;6.4;5;E;;
Mega Man X6;PS;Action;0.42;6.8;44;E;;
BloodRayne;PS2;Shooter;0.42;8.5;26;M;;
Kumamon Bomber: Puzzle de Kumamon Taisou;GC;Puzzle;0.42;;;;;
Castlevania: Curse of Darkness;PS2;Action;0.42;7.5;46;M;;
NBA 2K13;Wii;Sports;0.42;7.5;10;E;;
International Superstar Soccer Pro '98;PS;Sports;0.42;;;;;
LEGO Rock Band;PS3;Misc;0.42;7.6;18;E10+;;
Jimmy Neutron: Boy Genius;GBA;Platform;0.42;;;;;
Black;XB;Shooter;0.42;8;51;M;;
Double Pack: Finding Nemo / The Incredibles;XB;Action;0.42;;;;;
Spec Ops: The Line;X360;Shooter;0.42;8.2;319;M;;
NHL Slapshot;Wii;Sports;0.42;8.1;7;E;;
Paper Mario: Color Splash;WiiU;Role-Playing;0.42;6.8;208;E;;
Valkyrie Profile: Covenant of the Plume;DS;Role-Playing;0.42;6.8;12;T;;
Vanquish;X360;Shooter;0.42;8.4;182;M;;
Solitaire Overload;DS;Misc;0.42;9.2;12;E;;
TRON: Evolution;PS3;Action;0.42;6.2;28;T;;
Lord of the Rings: The Third Age;XB;Role-Playing;0.42;;;;;
Pirates of the Caribbean: At World's End;PS2;Action;0.42;7;10;T;;
Mega Man Legends 2;PS;Adventure;0.42;8.8;29;E;;
X-Men vs. Street Fighter;PS;Fighting;0.42;;;;;
Blazing Angels: Squadrons of WWII;X360;Simulation;0.42;7.9;53;T;;
Zack & Wiki: Quest for Barbaros' Treasure;Wii;Adventure;0.42;;;;;
High Rollers Casino;PS2;Misc;0.42;tbd;;E;;
TERA;PC;Role-Playing;0.42;6.8;742;M;;
Attack on Titan: Humanity in Chains;3DS;Action;0.42;4.5;34;M;;
The Suffering;PS2;Action;0.42;8.9;40;M;;
Cyber Troopers Virtual-On;SAT;Fighting;0.42;;;;;
Star Wars Starfighter: Special Edition;XB;Simulation;0.42;tbd;;T;;
Animal Crossing: Amiibo Festival;WiiU;Misc;0.41;4.4;173;E;;
NBA Jam;PS2;Sports;0.41;;;;;
Zone of the Enders: The 2nd Runner;PS2;Simulation;0.41;8.9;65;M;;
Just Dance 2014;PS4;Misc;0.41;5.5;51;E10+;;
Jampack Spring 2004 (RP-T);PS2;Misc;0.41;;;;;
Dexter's Laboratory Deesaster Strikes;GBA;Adventure;0.41;;;;;
NFL GameDay 2004;PS2;Sports;0.41;8.7;6;E;;
Condemned: Criminal Origins;X360;Action;0.41;8.2;146;M;;
Scooby-Doo and the Cyber Chase;GBA;Adventure;0.41;;;;;
Wheel of Fortune;DS;Misc;0.41;tbd;;E;;
Tomb Raider: The Last Revelation;PC;Action;0.41;8.6;50;T;;
pro evolution soccer 2011;PS2;Sports;0.41;6.7;7;E;;
Sega Rally Championship 2;DC;Racing;0.41;;;;;
Quake II;PS;Shooter;0.41;;;;;
Crash of the Titans;PS2;Action;0.41;5.9;48;E10+;;
EA Sports UFC 2;XOne;Sports;0.41;6;77;T;;
MLB 10: The Show;PS2;Sports;0.41;tbd;;E;;
Wheel of Fortune: 2nd Edition;PS;Misc;0.41;;;;;
Tom Clancy's Rainbow Six: Lockdown;XB;Shooter;0.41;6.6;28;M;;
Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS;PSP;Fighting;0.41;;;;;
TimeShift;X360;Shooter;0.41;7.9;63;M;;
Cool Boarders 2001;PS;Sports;0.41;tbd;;E;;
Grudge Warriors;PS;Action;0.41;;;;;
Farming Simulator 17;PS4;Simulation;0.41;8.7;12;E;;
World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen;PS;Sports;0.41;;;;;
Castlevania: The Dracula X Chronicles;PSP;Platform;0.41;7.8;62;T;;
Mobile Suit Gundam;SAT;Action;0.41;;;;;
Tom Clancy's HAWX 2;PS3;Action;0.41;6.8;19;T;;
Battlefield: Hardline;PS3;Shooter;0.41;5.3;81;M;;
Jimmy Neutron: Boy Genius;PS2;Platform;0.41;5.8;5;E;;
Itadaki Street DS;DS;Misc;0.41;;;;;
X-Men: The Official Game;PS2;Action;0.41;7.5;20;T;;
Terraria;PS3;Action;0.41;7.9;70;T;;
LEGO Dimensions;XOne;Action;0.41;6.9;27;E10+;;
Football Manager Handheld 2011;PSP;Sports;0.41;7.7;6;E;;
300: March to Glory;PSP;Action;0.41;7.1;14;M;;
Marvel Super Hero Squad;DS;Fighting;0.41;2.8;4;E10+;;
Call of Duty: Modern Warfare: Mobilized;DS;Shooter;0.41;;;;;
NHL 15;XOne;Sports;0.41;3.2;180;E10+;;
E0: Enemy Zero;SAT;Adventure;0.41;;;;;
Tom Clancy's The Division;PC;Shooter;0.41;5.8;1188;M;;
Yu-Gi-Oh! GX: Tag Force 2;PSP;Strategy;0.41;;;;;
Nicktoons: Unite!;PS2;Adventure;0.41;;;;;
JumpStart: Escape from Adventure Island;Wii;Adventure;0.41;tbd;;E;;
Green Day: Rock Band;PS3;Misc;0.41;6.3;24;T;;
NASCAR Racing;PS;Racing;0.41;;;;;
FIFA 14;PSV;Sports;0.41;1.8;69;E;;
Monotaro Dentetsu 2010: Sengoku Ishin no Hero Daishuugou! no Maki;Wii;Misc;0.41;;;;;
Cars: Race-O-Rama;PSP;Racing;0.41;tbd;;E;;
Boku no Natsuyasumi 2: Umi no Bouken Hen;PS2;Adventure;0.41;;;;;
F1 2014;PS3;Racing;0.41;4.1;28;E;;
Command & Conquer: Red Alert;PS;Strategy;0.41;;;;;
Cars: Mater-National Championship;PS3;Racing;0.41;4.8;4;E;;
Call of Duty: Black Ops II;WiiU;Shooter;0.41;6.9;228;M;;
Ogre Battle 64: Person of Lordly Caliber;N64;Role-Playing;0.41;;;;;
Superman: The New Superman Adventures;N64;Action;0.41;;;;;
Dig Dug;NES;Puzzle;0.41;;;;;
BioShock;PC;Shooter;0.41;8.5;3606;M;;
The Terminator: Dawn of Fate;PS2;Action;0.41;5.7;18;T;;
Rogue Galaxy: Director's Cut;PS2;Role-Playing;0.41;;;;;
Armored Core;PS;Simulation;0.41;;;;;
The Smurfs;DS;Action;0.41;tbd;;E;;
Densha De Go! 2;PS;Simulation;0.41;;;;;
Medal of Honor Heroes 2;Wii;Shooter;0.41;7.6;82;T;;
Top Spin 4;X360;Sports;0.41;8.2;70;E;;
James Patterson Women's Murder Club: Games of Passion;DS;Adventure;0.41;tbd;;T;;
Band Hero;PS2;Misc;0.41;4.4;7;E10+;;
Armored Core 2: Another Age;PS2;Simulation;0.41;8.8;30;T;;
Buzz! Junior: Jungle Party;PS2;Misc;0.41;;;;;
God Eater 2: Rage Burst;PSV;Role-Playing;0.41;8.1;16;T;;
Mortal Kombat: Deadly Alliance;GC;Fighting;0.41;8.7;43;M;;
NBA 2K11;PS2;Action;0.41;tbd;;E;;
AKB1/48: Idol to Koishitara...;PSP;Misc;0.41;;;;;
Pro Pinball;PS;Misc;0.41;;;;;
NiGHTS: Journey of Dreams;Wii;Platform;0.41;8.5;55;E;;
'98 Koshien;PS;Sports;0.41;;;;;
Harvest Moon: Grand Bazaar;DS;Simulation;0.41;;;;;
NBA 2K9;PS2;Sports;0.41;8;4;E;;
Yu-Gi-Oh! The Eternal Duelist Soul (JP sales);GBA;Misc;0.41;;;;;
Up;PSP;Action;0.41;tbd;;E;;
Hatsune Miku: Project Diva 2nd;PSP;Misc;0.41;;;;;
Marvel: Ultimate Alliance 2;PS2;Role-Playing;0.41;4.6;15;T;;
Monster Jam: Urban Assault;Wii;Racing;0.41;7.8;6;E;;
Call of Duty: Advanced Warfare;PC;Shooter;0.41;4.5;1136;M;;
Mario no Super Picross;SNES;Puzzle;0.41;;;;;
UEFA Euro 2008 Austria-Switzerland;PS3;Sports;0.41;;;;;
Ed; Edd n Eddy: The Mis-Edventures;2005;0.06;5;7.6;Artificial Mind and Movement;E;
Jikkyou Powerful Pro Yakuu '94;SNES;Sports;0.41;;;;;
Disney's Tarzan Untamed;PS2;Platform;0.41;7.1;7;E;;
WWE All Stars;PS3;Fighting;0.41;6.4;36;T;;
Green Day: Rock Band;X360;Misc;0.41;6.6;32;T;;
Harry Potter and the Deathly Hallows - Part 1;DS;Action;0.41;6;4;E10+;;
Resistance: Burning Skies;PSV;Shooter;0.41;6.8;245;M;;
Battlefield 2: Modern Combat;X360;Shooter;0.41;7.3;79;T;;
Rocksmith 2014;XOne;Misc;0.41;;;;;
Knockout Kings 2001;PS;Fighting;0.41;8.5;6;T;;
From Russia With Love;PS2;Action;0.41;7.6;36;T;;
Fantastic Pets;X360;Simulation;0.41;7.5;4;E;;
BlazBlue: Continuum Shift;PS3;Fighting;0.41;8;65;T;;
Duke Nukem Forever;PC;Shooter;0.41;5.7;1183;M;;
Dragon Quest X;WiiU;Role-Playing;0.41;;;;;
Minority Report: Everybody Runs;PS2;Action;0.41;5;14;T;;
Katamari Forever;PS3;Puzzle;0.4;8.1;50;E;;
Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life;PS;Misc;0.4;;;;;
NFL GameDay 2002;PS;Sports;0.4;8.8;4;E;;
Pengo;2600;Adventure;0.4;;;;;
Spider-Man: Web of Shadows;X360;Action;0.4;8.6;87;T;;
Naughty Bear;X360;Action;0.4;5.6;70;T;;
Mouse Trap;2600;Action;0.4;;;;;
Tak and the Power of Juju;GC;Platform;0.4;8.2;9;E;;
Six Flags Fun Park;Wii;Misc;0.4;7.1;7;E10+;;
Just Dance Kids 2;X360;Misc;0.4;tbd;;E;;
Beowulf: The Game;X360;Action;0.4;4.7;30;M;;
NBA Jam;Wii;Sports;0.4;8.5;20;E;;
Rune Factory 3: A Fantasy Harvest Moon;DS;Role-Playing;0.4;8.6;46;E;;
Dragon Quest Builders: Revive Alefgard;PS4;Role-Playing;0.4;;;;;
Star Wars The Clone Wars: Republic Heroes;PSP;Action;0.4;tbd;;T;;
Tales of Zestiria;PS4;Role-Playing;0.4;6.8;315;T;;
Metal Gear Solid: The Legacy Collection;PS3;Adventure;0.4;9;255;M;;
Medarot: Kabuto / Kuwagata Version;GB;Role-Playing;0.4;;;;;
NBA 2K10;PS2;Sports;0.4;8.6;11;E;;
Defender;PS2;Misc;0.4;7.8;6;T;;
NFL GameDay 2003;PS2;Sports;0.4;tbd;;E;;
TNA iMPACT!;PS3;Fighting;0.4;;;;;
Taiko no Tatsujin Wii: Dodon to 2 Yome!;Wii;Misc;0.4;;;;;
Congo Bongo;2600;Action;0.4;;;;;
Gauntlet: Seven Sorrows;PS2;Role-Playing;0.4;5.7;20;T;;
Harry Potter: Quidditch World Cup;GC;Sports;0.4;8.5;10;E;;
Warriors Orochi 2 (JP sales);PS2;Action;0.4;;;;;
Cabela's Big Game Hunter 2010;PS3;Sports;0.4;5;9;T;;
Overlord;X360;Strategy;0.4;8.3;70;T;;
The Chronicles of Narnia: Prince Caspian;PS2;Action;0.4;7;8;T;;
